# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     0.22%  postgres  [kernel.kallsyms]     [.] __audit_syscall_exit                       [kernel.kallsyms]     [.] path_put                                 
     0.21%  postgres  postgres              [.] SearchCatCache                             postgres              [.] nocachegetattr                           
     0.20%  postgres  postgres              [.] HeapTupleSatisfiesVacuum                   postgres              [.] TransactionIdPrecedes                    
     0.19%  postgres  postgres              [.] fix_scan_expr_walker                       postgres              [.] fix_expr_common                          
     0.19%  postgres  postgres              [.] index_getnext                              postgres              [.] HeapTupleSatisfiesVacuum                 
     0.19%  postgres  [kernel.kallsyms]     [k] enqueue_entity                             [kernel.kallsyms]     [k] update_curr                              
     0.18%  postgres  [kernel.kallsyms]     [k] enqueue_task_fair                          [kernel.kallsyms]     [k] enqueue_entity                           
     0.18%  postgres  [kernel.kallsyms]     [k] enqueue_entity                             [kernel.kallsyms]     [k] account_entity_enqueue                   
     0.18%  postgres  [kernel.kallsyms]     [k] enqueue_entity                             [kernel.kallsyms]     [k] update_cfs_shares                        
     0.18%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] effective_load.isra.27                   
     0.18%  postgres  postgres              [.] ExecInitExpr                               postgres              [.] MemoryContextAllocZeroAligned            
     0.18%  postgres  postgres              [.] heap_page_prune                            postgres              [.] HeapTupleSatisfiesVacuum                 
     0.18%  postgres  [kernel.kallsyms]     [k] update_sd_lb_stats                         [kernel.kallsyms]     [k] target_load                              
     0.18%  postgres  [kernel.kallsyms]     [k] enqueue_entity                             [kernel.kallsyms]     [k] place_entity                             
     0.18%  postgres  [kernel.kallsyms]     [k] enqueue_entity                             [kernel.kallsyms]     [k] update_cfs_load                          
     0.17%  postgres  postgres              [.] pg_qsort                                   postgres              [.] swapfunc                                 
     0.17%  postgres  [kernel.kallsyms]     [k] sys_semtimedop                             [kernel.kallsyms]     [k] pid_vnr                                  
     0.16%  postgres  postgres              [.] oid_hash                                   postgres              [.] hash_uint32                              
     0.16%  postgres  [kernel.kallsyms]     [.] enqueue_entity                             [kernel.kallsyms]     [.] __enqueue_entity                         
     0.16%  postgres  postgres              [.] hash_search                                postgres              [.] oid_hash                                 
     0.15%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] expression_tree_walker                   
     0.15%  postgres  [kernel.kallsyms]     [k] __schedule                                 [kernel.kallsyms]     [k] pick_next_task_fair                      
     0.14%  postgres  postgres              [.] LockReassignCurrentOwner                   postgres              [.] hash_seq_search                          
     0.14%  postgres  postgres              [.] ExecInitExpr                               postgres              [.] lappend                                  
     0.14%  postgres  postgres              [.] LockAcquireExtended                        postgres              [.] hash_search_with_hash_value              
     0.14%  postgres  postgres              [.] expression_tree_mutator                    postgres              [.] check_stack_depth                        
     0.14%  postgres  postgres              [.] hash_search_with_hash_value                postgres              [.] memcpy@plt                               
     0.14%  postgres  [kernel.kallsyms]     [k] list_del                                   [kernel.kallsyms]     [k] __list_del_entry                         
     0.14%  postgres  postgres              [k] ReadBuffer_common                          postgres              [k] LWLockAcquire                            
     0.14%  postgres  [kernel.kallsyms]     [k] load_balance                               [kernel.kallsyms]     [k] find_next_bit                            
     0.14%  postgres  postgres              [.] ScanKeywordLookup                          postgres              [.] strlen@plt                               
     0.14%  postgres  postgres              [k] ReadBuffer_common                          postgres              [k] BufTableHashCode                         
     0.13%  postgres  postgres              [k] ReadBuffer_common                          postgres              [k] ResourceOwnerEnlargeBuffers              
     0.13%  postgres  postgres              [k] BufTableLookup                             postgres              [k] hash_search_with_hash_value              
     0.13%  postgres  postgres              [.] cost_qual_eval_walker                      postgres              [.] expression_tree_walker                   
     0.13%  postgres  postgres              [.] core_yylex                                 postgres              [.] ScanKeywordLookup                        
     0.13%  postgres  libc-2.15.so          [k] __GI___semop                               [kernel.kallsyms]     [k] system_call                              
     0.13%  postgres  [kernel.kallsyms]     [k] ipc_lock_check                             [kernel.kallsyms]     [k] ipc_lock                                 
     0.13%  postgres  postgres              [.] CleanUpLock                                postgres              [.] SHMQueueDelete                           
     0.13%  postgres  postgres              [k] ReadBufferExtended                         postgres              [k] ReadBuffer_common                        
