# ========
# captured on: Wed Feb  6 11:49:58 2013
# hostname : santana
# os release : 3.7.3-101.fc17.x86_64
# perf version : 3.7.3-101.fc17.x86_64
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz
# cpuid : GenuineIntel,6,58,9
# total memory : 3612352 kB
# cmdline : /usr/bin/perf record --event=r003b088 -j any_call --pid=4158,4157,4156,4155,4154,4153,4152,4151,4150,4149,4148,4147,4146,4145,4144,4143,4142,4141,4140,4139,4138,4137,4136,4135,4134,4133,4132,4131,4130,4129,4128,4127,4126,4125,4124,4123,4122,4121,4120,4119,4118,4117,4116,4115,4114,4113,4112,4111,4110,4109,4108,4107,4106,4105,4104,4103,4102,4101,4100,4099,4098,4097,4096,4095,4088,4087,4086,4085,4083,4081 ./waitforpid.sh 4092 
# event : name = r003b088, type = 4, config = 0x3b088, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 51680, 51681, 51682, 51683, 51684, 51685, 51686, 51687, 51688, 51689, 51690, 51691, 51692, 51693, 51694, 51695, 51696, 51697, 51698, 51699, 51700, 51701, 51702, 51703, 51704, 51705, 51706, 51707, 51708, 51709, 51710, 51711, 51712, 51713, 51714, 51715, 51716, 51717, 51718, 51719, 51720, 51721, 51722, 51723, 51724, 51725, 51726, 51727, 51728, 51729, 51730, 51731, 51732, 51733, 51734, 51735, 51736, 51737, 51738, 51739, 51740, 51741, 51742, 51743, 51744, 51745, 51746, 51747, 51748, 51749 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# contains samples with branch stack
# pmu mappings: cpu = 4, software = 1, tracepoint = 2, breakpoint = 5
# ========
#
# Samples: 9M of event 'r003b088'
# Event count (approx.): 9290766
#
# Overhead   Command  Source Shared Object                                  Source Symbol  Target Shared Object                                  Target Symbol
# ........  ........  ....................  .............................................  ....................  .............................................
#
     0.02%  postgres  postgres              [.] LockReleaseAll                             postgres              [.] CleanUpLock                              
     0.02%  postgres  [kernel.kallsyms]     [k] kmem_cache_alloc                           [kernel.kallsyms]     [k] _cond_resched                            
     0.02%  postgres  postgres              [.] ExecProcNode                               postgres              [.] ExecIndexScan                            
     0.02%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] LWLockAcquire                            
     0.02%  postgres  postgres              [.] PushActiveSnapshot                         postgres              [.] GetCurrentTransactionNestLevel           
     0.02%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] get_last_attnums                         
     0.02%  postgres  [kernel.kallsyms]     [k] schedule_timeout                           [kernel.kallsyms]     [k] schedule                                 
     0.02%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] RecoveryInProgress                       
     0.02%  postgres  postgres              [.] raw_parser                                 postgres              [.] parser_init                              
     0.02%  postgres  postgres              [.] core_yyensure_buffer_stack                 postgres              [.] core_yyalloc                             
     0.02%  postgres  postgres              [.] fix_expr_common                            postgres              [.] set_opfuncid                             
     0.02%  postgres  [kernel.kallsyms]     [k] x86_pmu_disable                            [kernel.kallsyms]     [k] intel_pmu_disable_all                    
     0.02%  postgres  postgres              [.] appendBinaryStringInfo                     postgres              [.] enlargeStringInfo                        
     0.02%  postgres  postgres              [.] LockReleaseAll                             postgres              [.] LockTagHashCode                          
     0.02%  postgres  postgres              [.] RegisterSnapshotOnOwner                    postgres              [.] ResourceOwnerEnlargeSnapshots            
     0.02%  postgres  [kernel.kallsyms]     [k] sys_lseek                                  [kernel.kallsyms]     [k] fget_light                               
     0.02%  postgres  postgres              [.] CreateQueryDesc                            postgres              [.] RegisterSnapshot                         
     0.02%  postgres  [kernel.kallsyms]     [k] __wake_up_common                           [kernel.kallsyms]     [k] pollwake                                 
     0.02%  postgres  postgres              [.] core_yy_switch_to_buffer                   postgres              [.] core_yyensure_buffer_stack               
     0.02%  postgres  postgres              [k] LWLockRelease                              postgres              [k] PGSemaphoreUnlock                        
     0.02%  postgres  postgres              [.] base_yyparse                               postgres              [.] makeSimpleA_Expr                         
     0.02%  postgres  postgres              [.] makeSimpleA_Expr                           postgres              [.] MemoryContextAllocZeroAligned            
     0.02%  postgres  postgres              [.] new_head_cell.isra.0                       postgres              [.] MemoryContextAlloc                       
     0.02%  postgres  postgres              [.] pq_endmessage                              postgres              [.] pfree                                    
     0.02%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] contain_volatile_functions_walker        
     0.02%  postgres  postgres              [.] core_yy_scan_buffer                        postgres              [.] core_yyalloc                             
     0.02%  postgres  [kernel.kallsyms]     [k] system_call                                [kernel.kallsyms]     [k] sys_lseek                                
     0.02%  postgres  [kernel.kallsyms]     [k] __wake_up_sync_key                         [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.02%  postgres  [kernel.kallsyms]     [k] __wake_up_sync_key                         [kernel.kallsyms]     [k] __wake_up_common                         
     0.02%  postgres  postgres              [.] lcons                                      postgres              [.] new_head_cell.isra.0                     
     0.02%  postgres  [kernel.kallsyms]     [.] __intel_pmu_lbr_disable                    [kernel.kallsyms]     [.] native_read_msr_safe                     
     0.02%  postgres  postgres              [.] ResourceOwnerDelete                        postgres              [.] ResourceOwnerNewParent                   
     0.02%  postgres  postgres              [.] LockReleaseAll                             postgres              [.] RemoveLocalLock                          
     0.02%  postgres  postgres              [.] finalize_plan                              postgres              [.] bms_copy                                 
     0.02%  postgres  postgres              [.] core_yy_scan_buffer                        postgres              [.] core_yy_switch_to_buffer                 
     0.02%  postgres  postgres              [.] standard_ExecutorStart                     postgres              [.] RegisterSnapshot                         
     0.02%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] pgstat_end_function_usage                
     0.02%  postgres  postgres              [.] base_yyparse                               postgres              [.] makeColumnRef                            
     0.02%  postgres  [kernel.kallsyms]     [k] try_to_wake_up                             [kernel.kallsyms]     [k] set_task_cpu                             
     0.02%  postgres  postgres              [.] RegisterSnapshotOnOwner                    postgres              [.] ResourceOwnerRememberSnapshot            
     0.02%  postgres  postgres              [.] checkInsertTargets                         postgres              [.] bms_is_member                            
     0.02%  postgres  [kernel.kallsyms]     [k] select_task_rq_fair                        [kernel.kallsyms]     [k] cpumask_next_and                         
     0.02%  postgres  postgres              [.] pg_proc_aclcheck                           postgres              [.] pg_proc_aclmask                          
     0.02%  postgres  postgres              [.] pg_proc_aclmask                            postgres              [.] superuser_arg                            
     0.02%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] pgstat_init_function_usage               
     0.02%  postgres  postgres              [.] CopySnapshot                               postgres              [.] memcpy@plt                               
     0.02%  postgres  postgres              [.] oper                                       postgres              [.] make_oper_cache_key                      
     0.02%  postgres  libc-2.15.so          [k] __GI___libc_lseek64                        [kernel.kallsyms]     [k] system_call                              
     0.02%  postgres  postgres              [.] make_var                                   postgres              [.] get_rte_attribute_type                   
     0.02%  postgres  postgres              [.] CopySnapshot                               postgres              [.] MemoryContextAlloc                       
     0.02%  postgres  postgres              [.] standard_ExecutorEnd                       postgres              [.] UnregisterSnapshot                       
     0.02%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] LWLockRelease                            
     0.02%  postgres  postgres              [.] init_fcache                                postgres              [.] GetUserId                                
     0.02%  postgres  [kernel.kallsyms]     [.] intel_pmu_disable_all                      [kernel.kallsyms]     [.] native_write_msr_safe                    
     0.02%  postgres  [kernel.kallsyms]     [k] dm_merge_bvec                              [kernel.kallsyms]     [k] dm_table_find_target                     
     0.02%  postgres  postgres              [.] PushActiveSnapshot                         postgres              [.] CopySnapshot                             
     0.02%  postgres  postgres              [.] init_fcache                                postgres              [.] fmgr_info_cxt                            
     0.02%  postgres  postgres              [.] colNameToVar                               postgres              [.] scanRTEForColumn                         
     0.02%  postgres  postgres              [.] pg_qsort                                   postgres              [.] med3                                     
     0.02%  postgres  postgres              [.] transformExpr                              postgres              [.] colNameToVar                             
     0.02%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] check_stack_depth                        
     0.02%  postgres  postgres              [.] make_oper_cache_key                        postgres              [.] DeconstructQualifiedName                 
     0.02%  postgres  postgres              [.] ResourceOwnerReleaseInternal               postgres              [.] ReleaseResources_hash                    
     0.02%  postgres  postgres              [.] ExecMakeFunctionResult                     postgres              [.] ExecEvalFuncArgs                         
     0.02%  postgres  postgres              [.] lappend_oid                                postgres              [.] new_list                                 
     0.02%  postgres  postgres              [.] init_fcache                                postgres              [.] pg_proc_aclcheck                         
     0.02%  postgres  postgres              [.] addRTEtoQuery                              postgres              [.] lappend                                  
     0.02%  postgres  postgres              [.] GetSnapshotData                            postgres              [.] GetCurrentCommandId                      
     0.02%  postgres  postgres              [.] make_op                                    postgres              [.] oper                                     
     0.02%  postgres  postgres              [.] get_typcollation                           postgres              [.] SearchSysCache                           
     0.02%  postgres  postgres              [.] make_oper_cache_key                        postgres              [.] strlcpy                                  
     0.02%  postgres  [kernel.kallsyms]     [k] __wake_up_sync_key                         [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore              
     0.02%  postgres  postgres              [.] get_rte_attribute_type                     postgres              [.] SearchSysCache                           
     0.02%  postgres  postgres              [.] ExecModifyTable                            postgres              [.] ExecProcNode                             
     0.02%  postgres  [kernel.kallsyms]     [k] __kfree_skb                                [kernel.kallsyms]     [k] skb_release_head_state                   
     0.02%  postgres  [kernel.kallsyms]     [.] intel_pmu_lbr_disable_all                  [kernel.kallsyms]     [.] __intel_pmu_lbr_disable                  
     0.02%  postgres  postgres              [.] assign_collations_walker                   postgres              [.] exprType                                 
     0.02%  postgres  postgres              [.] finish_xact_command                        postgres              [.] CommitTransactionCommand                 
     0.02%  postgres  postgres              [.] finish_xact_command                        postgres              [.] errstart                                 
     0.02%  postgres  [kernel.kallsyms]     [k] dm_merge_bvec                              [kernel.kallsyms]     [k] max_io_len                               
     0.02%  postgres  postgres              [.] preprocess_targetlist                      postgres              [.] makeTargetEntry                          
     0.02%  postgres  postgres              [.] make_var                                   postgres              [.] RTERangeTablePosn                        
     0.02%  postgres  postgres              [.] assign_collations_walker                   postgres              [.] get_typcollation                         
     0.02%  postgres  postgres              [.] eval_const_expressions_mutator             postgres              [.] MemoryContextAllocZeroAligned            
     0.02%  postgres  postgres              [.] preprocess_targetlist                      postgres              [.] MemoryContextStrdup                      
     0.02%  postgres  postgres              [.] XLogInsert                                 postgres              [.] LWLockRelease                            
     0.02%  postgres  [kernel.kallsyms]     [k] system_call                                [kernel.kallsyms]     [k] sys_sendto                               
     0.02%  postgres  postgres              [.] ExecClearTuple                             postgres              [.] heap_freetuple                           
     0.02%  postgres  postgres              [.] scanRTEForColumn                           postgres              [.] make_var                                 
     0.02%  postgres  [kernel.kallsyms]     [k] dm_merge_bvec                              [kernel.kallsyms]     [k] dm_get_live_table                        
     0.02%  postgres  postgres              [.] IndexNext                                  postgres              [.] index_getnext                            
     0.02%  postgres  postgres              [.] scanner_init                               postgres              [.] core_yy_scan_buffer                      
     0.02%  postgres  [kernel.kallsyms]     [k] sys_sendto                                 [kernel.kallsyms]     [k] sockfd_lookup_light                      
     0.02%  postgres  postgres              [.] ExecScan                                   postgres              [.] IndexNext                                
     0.02%  postgres  postgres              [.] GetPortalByName                            postgres              [.] hash_search                              
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] _raw_spin_lock                           
     0.02%  postgres  [kernel.kallsyms]     [k] ksize                                      [kernel.kallsyms]     [k] __phys_addr                              
     0.02%  postgres  [kernel.kallsyms]     [k] memcpy_fromiovec                           [kernel.kallsyms]     [k] _copy_from_user                          
     0.02%  postgres  [kernel.kallsyms]     [k] selinux_socket_sendmsg                     [kernel.kallsyms]     [k] sock_has_perm                            
     0.02%  postgres  postgres              [.] finish_xact_command                        postgres              [.] disable_sig_alarm                        
     0.02%  postgres  postgres              [.] heap_form_tuple                            postgres              [.] heap_fill_tuple                          
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] CreateCommandTag                         
     0.02%  postgres  postgres              [.] makeRangeVar                               postgres              [.] MemoryContextAllocZeroAligned            
     0.02%  postgres  postgres              [.] simplify_function                          postgres              [.] ReleaseSysCache                          
     0.02%  postgres  [kernel.kallsyms]     [.] intel_pmu_disable_all                      [kernel.kallsyms]     [.] intel_pmu_lbr_disable_all                
     0.02%  postgres  postgres              [.] pq_sendint                                 postgres              [.] appendBinaryStringInfo                   
     0.02%  postgres  postgres              [.] pq_beginmessage                            postgres              [.] initStringInfo                           
     0.02%  postgres  postgres              [.] EndCommand                                 postgres              [.] strlen@plt                               
     0.02%  postgres  postgres              [.] pq_endmessage                              postgres              [.] pq_putmessage                            
     0.02%  postgres  postgres              [.] fetch_search_path_array                    postgres              [.] recomputeNamespacePath                   
     0.02%  postgres  postgres              [.] make_oper_cache_key                        postgres              [.] fetch_search_path_array                  
     0.02%  postgres  postgres              [.] eval_const_expressions                     postgres              [.] eval_const_expressions_mutator           
     0.02%  postgres  postgres              [.] mdnblocks                                  postgres              [.] mdopen                                   
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] EndCommand                               
     0.02%  postgres  [kernel.kallsyms]     [k] sys_lseek                                  [kernel.kallsyms]     [k] ext4_llseek                              
     0.02%  postgres  postgres              [.] raw_parser                                 postgres              [.] scanner_finish                           
     0.02%  postgres  postgres              [.] preprocess_expression                      postgres              [.] eval_const_expressions                   
     0.02%  postgres  postgres              [.] assign_list_collations                     postgres              [.] assign_expr_collations                   
     0.02%  postgres  [kernel.kallsyms]     [k] __kmalloc_reserve                          [kernel.kallsyms]     [k] __kmalloc_node_track_caller              
     0.02%  postgres  postgres              [.] get_func_cost                              postgres              [.] SearchSysCache                           
     0.02%  postgres  libc-2.15.so          [k] __libc_send                                [kernel.kallsyms]     [k] system_call                              
     0.02%  postgres  postgres              [.] assign_collations_walker                   postgres              [.] exprSetInputCollation                    
     0.02%  postgres  [kernel.kallsyms]     [k] skb_release_head_state                     [kernel.kallsyms]     [k] unix_destruct_scm                        
     0.02%  postgres  [kernel.kallsyms]     [k] memcpy_fromiovec                           [kernel.kallsyms]     [k] _cond_resched                            
     0.02%  postgres  postgres              [.] eval_const_expressions_mutator             postgres              [.] simplify_function                        
     0.02%  postgres  [kernel.kallsyms]     [k] skb_queue_tail                             [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore              
     0.02%  postgres  postgres              [.] scanner_init                               postgres              [.] memcpy@plt                               
     0.02%  postgres  [kernel.kallsyms]     [k] security_socket_sendmsg                    [kernel.kallsyms]     [k] selinux_socket_sendmsg                   
     0.02%  postgres  postgres              [.] PortalDrop                                 postgres              [.] MemoryContextDelete                      
     0.02%  postgres  postgres              [.] cost_qual_eval_walker                      postgres              [.] get_func_cost                            
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] sock_def_readable                        
     0.02%  postgres  postgres              [.] XLogInsert                                 postgres              [.] GetCurrentTransactionIdIfAny             
     0.02%  postgres  [kernel.kallsyms]     [k] memcpy_toiovec                             [kernel.kallsyms]     [k] _copy_to_user                            
     0.02%  postgres  postgres              [.] LockReassignCurrentOwner                   postgres              [.] hash_seq_init                            
     0.02%  postgres  [kernel.kallsyms]     [k] __kmalloc_node_track_caller                [kernel.kallsyms]     [k] get_slab                                 
     0.02%  postgres  postgres              [.] printtup_create_DR                         postgres              [.] MemoryContextAllocZero                   
     0.02%  postgres  postgres              [.] ExecMaterializeSlot                        postgres              [.] ExecCopySlotTuple                        
     0.02%  postgres  [kernel.kallsyms]     [k] __kmalloc_node_track_caller                [kernel.kallsyms]     [k] _cond_resched                            
     0.02%  postgres  postgres              [.] LockReassignCurrentOwner                   postgres              [.] ResourceOwnerGetParent                   
     0.02%  postgres  postgres              [k] _mdnblocks.isra.1                          postgres              [k] FileSeek                                 
     0.02%  postgres  postgres              [.] start_xact_command                         postgres              [.] StartTransactionCommand                  
     0.02%  postgres  postgres              [.] ResourceOwnerReleaseInternal               postgres              [.] LockReassignCurrentOwner                 
     0.02%  postgres  postgres              [.] heap_form_tuple                            postgres              [.] MemoryContextAllocZero                   
     0.02%  postgres  postgres              [.] MemoryContextResetAndDeleteChildren        postgres              [.] MemoryContextDeleteChildren              
     0.02%  postgres  postgres              [.] RelationPutHeapTuple                       postgres              [.] BufferGetBlockNumber                     
     0.02%  postgres  [kernel.kallsyms]     [k] sock_sendmsg                               [kernel.kallsyms]     [k] security_socket_sendmsg                  
     0.02%  postgres  postgres              [.] scanRTEForColumn                           postgres              [.] markVarForSelectPriv                     
     0.02%  postgres  postgres              [.] UnlockReleaseBuffer                        postgres              [.] LockBuffer                               
     0.02%  postgres  postgres              [.] markRTEForSelectPriv                       postgres              [.] bms_add_member                           
     0.02%  postgres  postgres              [.] get_func_cost                              postgres              [.] ReleaseSysCache                          
     0.02%  postgres  [kernel.kallsyms]     [k] skb_queue_tail                             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] MemoryContextResetAndDeleteChildren      
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] SetRemoteDestReceiverParams              
     0.02%  postgres  postgres              [.] XLogInsert                                 postgres              [.] LWLockAcquire                            
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] memcpy_fromiovec                         
     0.02%  postgres  postgres              [.] core_yylex_init                            postgres              [.] core_yyalloc                             
     0.02%  postgres  postgres              [.] process_equivalence                        postgres              [.] exprType                                 
     0.02%  postgres  postgres              [k] ReadyForQuery                              postgres              [k] pq_flush                                 
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] PortalRun                                
     0.02%  postgres  [kernel.kallsyms]     [k] unix_destruct_scm                          [kernel.kallsyms]     [k] sock_wfree                               
     0.02%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] pull_varnos_walker                       
     0.02%  postgres  [kernel.kallsyms]     [k] unix_destruct_scm                          [kernel.kallsyms]     [k] put_pid                                  
     0.02%  postgres  postgres              [.] PortalRun                                  postgres              [.] __sigsetjmp@plt                          
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] maybe_add_creds                          
     0.02%  postgres  [kernel.kallsyms]     [k] dm_merge_bvec                              [kernel.kallsyms]     [k] dm_table_put                             
     0.02%  postgres  postgres              [k] FileSeek                                   postgres              [k] lseek@plt                                
     0.02%  postgres  [kernel.kallsyms]     [k] security_socket_recvmsg                    [kernel.kallsyms]     [k] selinux_socket_recvmsg                   
     0.02%  postgres  postgres              [.] _bt_search                                 postgres              [.] _bt_moveright                            
     0.02%  postgres  postgres              [.] simplify_function                          postgres              [.] SearchSysCache                           
     0.02%  postgres  postgres              [.] oper                                       postgres              [.] find_oper_cache_entry                    
     0.02%  postgres  postgres              [k] mdnblocks                                  postgres              [k] _mdnblocks.isra.1                        
     0.02%  postgres  postgres              [.] rewriteTargetListIU                        postgres              [.] lappend                                  
     0.02%  postgres  postgres              [.] coerce_to_target_type                      postgres              [.] coerce_type                              
     0.02%  postgres  postgres              [.] add_path                                   postgres              [.] compare_pathkeys                         
     0.02%  postgres  postgres              [.] ExecAssignResultTypeFromTL                 postgres              [.] ExecTypeFromTL                           
     0.02%  postgres  postgres              [.] assign_collations_walker                   postgres              [.] exprSetCollation                         
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] check_log_duration                       
     0.02%  postgres  [kernel.kallsyms]     [k] selinux_socket_recvmsg                     [kernel.kallsyms]     [k] sock_has_perm                            
     0.02%  postgres  postgres              [.] base_yyparse                               postgres              [.] makeRangeVar                             
     0.02%  postgres  postgres              [.] heap_form_tuple                            postgres              [.] heap_compute_data_size                   
     0.02%  postgres  [kernel.kallsyms]     [k] find_get_pages_tag                         [kernel.kallsyms]     [k] radix_tree_next_chunk                    
     0.02%  postgres  postgres              [.] ExecAssignResultTypeFromTL                 postgres              [.] ExecContextForcesOids                    
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] CreateDestReceiver                       
     0.02%  postgres  postgres              [.] scanner_init                               postgres              [.] core_yylex_init                          
     0.02%  postgres  postgres              [.] CreatePortal                               postgres              [.] GetPortalByName                          
     0.02%  postgres  [kernel.kallsyms]     [k] sock_alloc_send_pskb                       [kernel.kallsyms]     [k] __alloc_skb                              
     0.02%  postgres  postgres              [.] expression_tree_walker                     postgres              [.] expression_returns_set_walker            
     0.02%  postgres  [kernel.kallsyms]     [.] intel_pmu_disable_all                      [kernel.kallsyms]     [.] intel_pmu_pebs_disable_all               
     0.02%  postgres  [kernel.kallsyms]     [k] sys_recvfrom                               [kernel.kallsyms]     [k] sock_recvmsg                             
     0.02%  postgres  postgres              [.] transformExpr                              postgres              [.] make_op                                  
     0.02%  postgres  postgres              [.] get_restriction_variable                   postgres              [.] examine_variable                         
     0.02%  postgres  postgres              [.] process_equivalence                        postgres              [.] canonicalize_ec_expression               
     0.02%  postgres  postgres              [.] find_oper_cache_entry                      postgres              [.] hash_search                              
     0.02%  postgres  postgres              [.] add_eq_member                              postgres              [.] bms_is_empty                             
     0.02%  postgres  [kernel.kallsyms]     [.] kfree                                      [kernel.kallsyms]     [.] __phys_addr                              
     0.02%  postgres  postgres              [.] add_eq_member                              postgres              [.] lappend                                  
     0.02%  postgres  postgres              [.] ResourceOwnerCreate                        postgres              [.] MemoryContextAllocZero                   
     0.02%  postgres  postgres              [.] XLogInsert                                 postgres              [.] XLogInsertAllowed                        
     0.02%  postgres  postgres              [.] canonicalize_ec_expression                 postgres              [.] exprCollation                            
     0.02%  postgres  [kernel.kallsyms]     [k] dequeue_task_fair                          [kernel.kallsyms]     [k] set_next_buddy                           
     0.02%  postgres  postgres              [.] add_eq_member                              postgres              [.] MemoryContextAllocZeroAligned            
     0.02%  postgres  postgres              [.] PortalStart                                postgres              [.] ChoosePortalStrategy                     
     0.02%  postgres  postgres              [.] canonicalize_ec_expression                 postgres              [.] exprType                                 
     0.02%  postgres  [kernel.kallsyms]     [.] unlock_page                                [kernel.kallsyms]     [.] page_waitqueue                           
     0.02%  postgres  postgres              [k] pq_flush                                   postgres              [k] pq_set_nonblocking                       
     0.02%  postgres  postgres              [.] create_index_paths                         postgres              [.] list_concat                              
     0.02%  postgres  postgres              [.] coerce_to_target_type                      postgres              [.] can_coerce_type                          
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_recvmsg                        [kernel.kallsyms]     [k] consume_skb                              
     0.02%  postgres  postgres              [.] transformAssignedExpr                      postgres              [.] coerce_to_target_type                    
     0.02%  postgres  postgres              [.] transformStmt                              postgres              [.] bms_add_member                           
     0.02%  postgres  [kernel.kallsyms]     [k] sock_recvmsg                               [kernel.kallsyms]     [k] security_socket_recvmsg                  
     0.02%  postgres  [kernel.kallsyms]     [k] skb_unlink                                 [kernel.kallsyms]     [k] _raw_spin_unlock_irqrestore              
     0.02%  postgres  [kernel.kallsyms]     [k] __kfree_skb                                [kernel.kallsyms]     [k] skb_release_data                         
     0.02%  postgres  [kernel.kallsyms]     [k] sys_sendto                                 [kernel.kallsyms]     [k] sock_sendmsg                             
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] pg_parse_query                           
     0.02%  postgres  [kernel.kallsyms]     [.] unlock_page                                [kernel.kallsyms]     [.] __wake_up_bit                            
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] BeginCommand                             
     0.02%  postgres  postgres              [.] PortalDrop                                 postgres              [.] ResourceOwnerDelete                      
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] unix_scm_to_skb                          
     0.02%  postgres  [kernel.kallsyms]     [k] sock_wfree                                 [kernel.kallsyms]     [k] unix_write_space                         
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] CreatePortal                             
     0.02%  postgres  postgres              [.] MemoryContextReset                         postgres              [.] AllocSetReset                            
     0.02%  postgres  postgres              [.] LockReleaseAll                             postgres              [.] LWLockAcquire                            
     0.02%  postgres  postgres              [.] pull_varnos_walker                         postgres              [.] bms_add_member                           
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] skb_queue_tail                           
     0.02%  postgres  postgres              [.] GetCurrentTimestamp                        postgres              [.] gettimeofday@plt                         
     0.02%  postgres  [kernel.kallsyms]     [k] memcpy_toiovec                             [kernel.kallsyms]     [k] _cond_resched                            
     0.02%  postgres  postgres              [.] make_var                                   postgres              [.] makeVar                                  
     0.02%  postgres  postgres              [.] find_usable_indexes                        postgres              [.] lappend                                  
     0.02%  postgres  [kernel.kallsyms]     [k] consume_skb                                [kernel.kallsyms]     [k] __kfree_skb                              
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] analyze_requires_snapshot                
     0.02%  postgres  [kernel.kallsyms]     [k] unix_stream_sendmsg                        [kernel.kallsyms]     [k] skb_put                                  
     0.02%  postgres  postgres              [.] add_path                                   postgres              [.] lcons                                    
     0.02%  postgres  [kernel.kallsyms]     [k] sock_alloc_send_skb                        [kernel.kallsyms]     [k] sock_alloc_send_pskb                     
     0.02%  postgres  [kernel.kallsyms]     [k] sock_recvmsg                               [kernel.kallsyms]     [k] sock_update_classid                      
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] PortalSetResultFormat                    
     0.02%  postgres  [kernel.kallsyms]     [k] skb_unlink                                 [kernel.kallsyms]     [k] _raw_spin_lock_irqsave                   
     0.02%  postgres  [kernel.kallsyms]     [k] sys_recvfrom                               [kernel.kallsyms]     [k] sockfd_lookup_light                      
     0.02%  postgres  postgres              [.] preprocess_targetlist                      postgres              [.] makeVar                                  
     0.02%  postgres  postgres              [.] transformAssignedExpr                      postgres              [.] exprType                                 
     0.02%  postgres  postgres              [.] FreeExprContext                            postgres              [.] MemoryContextDelete                      
     0.02%  postgres  postgres              [.] query_planner                              postgres              [.] MemoryContextAllocZero                   
     0.02%  postgres  postgres              [.] process_equivalence                        postgres              [.] add_eq_member                            
     0.02%  postgres  [kernel.kallsyms]     [k] __alloc_skb                                [kernel.kallsyms]     [k] ksize                                    
     0.02%  postgres  postgres              [.] scanner_init                               postgres              [.] strlen@plt                               
     0.02%  postgres  postgres              [.] transformAssignedExpr                      postgres              [.] attnumTypeId                             
     0.02%  postgres  postgres              [.] pg_parse_query                             postgres              [.] raw_parser                               
     0.02%  postgres  postgres              [.] process_equivalence                        postgres              [.] bms_intersect                            
     0.02%  postgres  postgres              [.] preprocess_targetlist                      postgres              [.] list_nth                                 
     0.02%  postgres  postgres              [.] PortalDrop                                 postgres              [.] PortalReleaseCachedPlan.isra.0           
     0.02%  postgres  postgres              [.] start_xact_command                         postgres              [.] errstart                                 
     0.02%  postgres  postgres              [.] PostgresMain                               postgres              [.] drop_unnamed_stmt                        
     0.02%  postgres  postgres              [.] pg_plan_queries                            postgres              [.] lappend                                  
     0.02%  postgres  postgres              [.] finalize_plan                              postgres              [.] bms_is_empty                             
     0.02%  postgres  postgres              [.] AllocSetReset                              postgres              [.] free@plt                                 
     0.02%  postgres  postgres              [.] finalize_plan                              postgres              [.] bms_is_subset                            
     0.02%  postgres  postgres              [.] pg_qsort                                   postgres              [.] pg_qsort                                 
     0.02%  postgres  postgres              [.] hash_search_with_hash_value                postgres              [.] string_compare                           
     0.02%  postgres  [kernel.kallsyms]     [k] system_call                                [kernel.kallsyms]     [k] sys_recvfrom                             
     0.02%  postgres  postgres              [.] clauselist_selectivity                     postgres              [.] clause_selectivity                       
     0.02%  postgres  [kernel.kallsyms]     [k] sock_sendmsg                               [kernel.kallsyms]     [k] sock_update_classid                      
